Tcrit_mean,Tcrit_std,elite_fracture_prob_mean,elite_fracture_prob_std,time_to_elite_fracture_mean,time_to_elite_fracture_std,weeks_below_elite_crit_mean,weeks_below_elite_crit_std,avg_loyal_mean,avg_loyal_std,peak_protest_mean,peak_protest_std,end_displaced_m_mean,end_displaced_m_std,mean_elite_mean,mean_elite_std,min_elite_mean,min_elite_std,mean_stab_mean,mean_stab_std,min_stab_mean,min_stab_std
157.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.10021617283594123,0.0,0.14980186309988325,0.0,0.4379431433642952,6.206335383118183e-17,0.5304900337163716,0.0,0.4950546737343025,6.206335383118183e-17,0.8344198479645959,0.0,0.6326169342915935,0.0
59.0,0.0,1.0,0.0,75.0,0.0,81.0,0.0,0.026332660523384687,0.0,1.0,0.0,1.9176541561434703,0.0,0.3870155150295683,0.0,0.31412244754853386,0.0,0.24420751248709188,0.0,0.0,0.0
157.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.03195277532178059,0.0,0.27727157947812847,0.0,0.6296304571404013,0.0,0.4651822876066002,6.206335383118183e-17,0.4366882845972125,6.206335383118183e-17,0.5629259785425356,0.0,0.4662938455576186,0.0
157.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.03567097421549552,0.0,0.2673461734235524,0.0,0.6183528566831704,0.0,0.4902541603079091,0.0,0.46838904318515084,6.206335383118183e-17,0.6809963322137244,0.0,0.6192305643209656,0.0
157.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.04715135191523146,0.0,0.2673630387917951,0.0,0.613387887659853,0.0,0.49058544010695526,0.0,0.46832690667894195,0.0,0.6836841754510854,0.0,0.6190713020879177,0.0
157.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.011093979712579253,0.0,0.2674730426025974,0.0,0.620087942413634,0.0,0.48937238188020526,0.0,0.4682061486492799,0.0,0.6756029843213978,0.0,0.6186750264648473,0.0
157.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0254466104482358,0.0,0.2674663327092111,0.0,0.6202040519504072,0.0,0.48956501994760726,6.206335383118183e-17,0.46823725489751256,0.0,0.6765531727072772,0.0,0.6187522658344373,0.0
157.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.03745681046228716,0.0,0.2673391429181369,0.0,0.6176966028830394,0.0,0.5130257544921679,0.0,0.49086620521372326,0.0,0.6800902519174036,0.0,0.6191497154727074,0.0
157.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.035532686064742865,0.0,0.26737672851492544,0.0,0.618464962290779,0.0,0.48876990832194966,0.0,0.4668903188971186,0.0,0.6791953133064069,0.0,0.6190279809640598,0.0
157.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.033716236435298884,0.0,0.2805348751969956,0.0,0.6305808430119042,0.0,0.4739900363135365,0.0,0.4389559707725844,6.206335383118183e-17,0.6104858746747204,0.0,0.5033032620396789,0.0
