Tcrit,elite_fracture_prob,time_to_elite_fracture,weeks_below_elite_crit,avg_loyal,peak_protest,end_displaced_m,mean_elite,min_elite,mean_stab,min_stab
25.0,1.0,40.0,116.0,0.019252147722029298,1.0,2.3801599979483403,0.3416904189436424,0.29151854632046353,0.08204732299795313,0.0
17.0,1.0,27.0,129.0,0.01768568773988226,1.0,2.7479400409047856,0.30534541671696364,0.2630150277576319,0.06324473512009025,0.0
157.0,0.0,157.0,0.0,0.47836678711090624,0.23373242698970498,0.3678495462421952,0.5335201565235794,0.45000942276069306,0.8034476761858088,0.5265488373715798
24.0,1.0,35.0,121.0,0.06424306945761729,1.0,2.5505170453823798,0.34518310136592173,0.3008789447054572,0.08658368756429141,0.0
157.0,0.0,157.0,0.0,0.02124438774099464,0.15174451898972485,0.6441104797680275,0.48214270199423315,0.4504924848345739,0.6048601958025952,0.5160386498929957
104.0,0.0,157.0,0.0,0.01783969797803503,0.16357893940322754,0.6718664489559033,0.44284837373554464,0.395426138367777,0.39765359776808196,0.27250062496819333
24.0,1.0,42.0,114.0,0.017953954180180937,1.0,1.838507733435093,0.3478298389959106,0.2951359461236474,0.08595788431643281,0.0
37.0,1.0,56.0,100.0,0.02027966513908533,0.4289408769139592,0.8804222347778127,0.3572894981739984,0.298910926198949,0.13408917951809782,0.0
157.0,0.0,157.0,0.0,0.02043667116401431,0.18793434862249825,0.7225653091122497,0.45114323951626545,0.4306992020129504,0.422669669795891,0.38445541742613487
25.0,1.0,36.0,120.0,0.02216324325174586,1.0,2.6959530111940144,0.32966846511943054,0.28029964349822556,0.0911865515005093,0.0
71.0,0.0,157.0,0.0,0.01715365907544318,0.25278800222869247,0.6690360331991697,0.42691040014674686,0.36954399887407885,0.3265861445382408,0.1695293576803041
16.0,1.0,34.0,122.0,0.020550162078704127,1.0,2.622208261870979,0.33554375238005263,0.2938095379936061,0.06252083694050115,0.0
40.0,1.0,62.0,94.0,0.022846270608000707,0.5491662245940975,1.0870818279542982,0.3682840142563278,0.311966630516022,0.1433887605686251,0.0
10.0,1.0,31.0,125.0,0.01765266303882167,1.0,2.686589227464675,0.3244294884456944,0.278584223555654,0.046571139253924226,0.0
25.0,1.0,45.0,111.0,0.022416663308390056,1.0,1.9477246091061424,0.35192104879607494,0.29212278936668384,0.08357426747183383,0.0
37.0,1.0,52.0,104.0,0.023180448443030258,1.0,1.816550593245864,0.35844264149089583,0.2891484001890823,0.1391255815642157,0.0
18.0,1.0,31.0,125.0,0.019158009101812964,1.0,2.508794586309259,0.32976483656026406,0.28931864401644825,0.06568757148836349,0.0
54.0,0.0,157.0,0.0,0.5127243081115387,0.4715681007874797,0.7016073760790001,0.4780481392316041,0.3981215633848909,0.5501931035215025,0.2597427690451046
10.0,1.0,27.0,129.0,0.015951545738024018,1.0,2.683259125430277,0.3210618475610422,0.2810568280813626,0.04163278894298591,0.0
31.0,1.0,47.0,109.0,0.018562559873949728,1.0,1.7856761574386601,0.3417964537692997,0.2840770920388707,0.10345064567125384,0.0
22.0,1.0,32.0,124.0,0.016222658157181477,1.0,2.9904488656000874,0.32363862420622164,0.28014990810198714,0.07871504511197804,0.0
31.0,1.0,56.0,100.0,0.020106634322415433,0.5455574583955125,1.017356790736535,0.3662582655313192,0.31046342942407784,0.11349487674629473,0.0
36.0,1.0,51.0,105.0,0.024125332325875826,1.0,2.1019461759586697,0.3546845711255774,0.2934944285328994,0.12992866786659377,0.0
157.0,0.0,157.0,0.0,0.015927231784825444,0.15194565671585722,0.6693899436032267,0.47300315700906226,0.4434452878630013,0.50700194832943,0.4401521821856506
31.0,1.0,49.0,107.0,0.022144277761483255,1.0,1.65603592780449,0.3604824111362224,0.29520307993399675,0.11109311624834052,0.0
22.0,1.0,33.0,123.0,0.01943219669471996,1.0,2.486514403379582,0.3397271945416777,0.2997922947149883,0.0792346521946046,0.0
55.0,1.0,80.0,74.0,0.07273676704814269,0.5502314387459061,0.8493551786742454,0.39267880235419633,0.3245627275537701,0.224616239001085,0.0
24.0,1.0,39.0,117.0,0.01858576245877442,1.0,2.0545876682703597,0.344528215589973,0.2927461256880376,0.08399536908022366,0.0
22.0,1.0,37.0,119.0,0.01666411130402744,1.0,2.71058373116918,0.3341747581018629,0.2824818949586034,0.07738995161870336,0.0
42.0,1.0,59.0,97.0,0.01607368463827945,1.0,1.8389748167090583,0.3626602233354105,0.2964387638297378,0.15851101071355314,0.0
28.0,1.0,40.0,116.0,0.01955230151140753,1.0,2.512462951199312,0.33993673725941875,0.29087394803135275,0.10313605651137252,0.0
11.0,1.0,25.0,131.0,0.01783277818699489,1.0,2.9730010653647745,0.3139729803667182,0.2792710594398803,0.04401061359791454,0.0
67.0,1.0,111.0,45.0,0.01844917733042623,0.27483442056082724,0.5653978519314093,0.39618679279154934,0.3342194630881022,0.31298933274664936,0.13017957003230032
21.0,1.0,38.0,118.0,0.020784323986525657,1.0,2.2815305299829682,0.34483809969195517,0.29939374287118925,0.07434775919014339,0.0
